augment0_grp,Value_Count,average_placement
TFT6_Augment_MakeshiftArmor1,28,4.57
TFT8_Augment_LeeSinSupport,58,4.57
TFT8_Augment_YasuoSupport,101,4.58
TFT8_Augment_LuluSupport,38,4.58
TFT7_Augment_Preparation,96,4.59
TFT6_Augment_Traitless2,22,4.59
TFT8_Augment_DuelistTrait,20,4.6
TFT7_Augment_AFK,83,4.61
TFT8_Augment_AceEmblem2,8,4.62
TFT6_Augment_GrandGambler,55,4.64
TFT8_Augment_AnnieSupport,77,4.64
TFT8_Augment_SivirSupport,110,4.66
TFT8_Augment_LuxCarry,9,4.67
TFT8_Augment_EzrealSupport,152,4.67
TFT8_Augment_CivilianEmblem,15,4.67
TFT6_Augment_MetabolicAccelerator,49,4.67
TFT8_Augment_RivenReverberation,6,4.67
TFT8_Augment_HeartEmblem2,24,4.67
TFT7_Augment_Consistency,111,4.68
TFT8_Augment_BlitzcrankSupport,71,4.69
TFT6_Augment_ThrillOfTheHunt2,45,4.71
TFT6_Augment_MakeshiftArmor2,26,4.73
TFT8_Augment_DuelistEmblem,38,4.74
TFT8_Augment_HackerTrait,21,4.76
TFT6_Augment_TinyTitans,105,4.76
TFT8_Augment_NasusSupport,60,4.8
TFT6_Augment_ThrillOfTheHunt1,91,4.82
TFT7_Augment_PandorasBench,38,4.82
TFT8_Augment_OxForceTrait,29,4.83
TFT8_Augment_RenegadeEmblem2,23,4.83
TFT7_Augment_CursedCrown,12,4.83
TFT7_Augment_LuckyGloves,30,4.83
TFT8_Augment_EzrealCarry,15,4.87
TFT6_Augment_Traitless3,15,4.87
TFT6_Augment_TrueTwos,64,4.88
TFT8_Augment_ZoeSupport,9,4.89
TFT8_Augment_GalioSupport,80,4.89
TFT6_Augment_RadiantRelics,37,4.92
TFT6_Augment_WoodlandCharm,27,4.93
TFT8_Augment_DeadeyeEmblem2,15,4.93
TFT6_Augment_MeleeStarBlade3,21,4.95
TFT8_Augment_InterPolarisTrait,25,4.96
TFT6_Augment_RichGetRicher,69,4.96
TFT8_Augment_JinxSupport,31,4.97
TFT6_Augment_CyberneticImplants3,5,5.0
TFT8_Augment_SonaExile,4,5.0
TFT8_Augment_SennaASCarry,3,5.0
TFT8_Augment_AlistarAoEPulverizer,4,5.0
TFT6_Augment_MaxLevel10,60,5.0
TFT8_Augment_LeeSinCarry,6,5.0
TFT6_Augment_Battlemage3,35,5.0
TFT6_Augment_Windfall,27,5.0
TFT6_Augment_SalvageBin,13,5.0
TFT8_Augment_InterPolarisEmblem,15,5.0
TFT6_Augment_Battlemage2,47,5.02
TFT6_Augment_CelestialBlessing3,24,5.08
TFT8_Augment_ExoPrimeEmblem,11,5.09
TFT8_Augment_ADMINTrait,23,5.09
TFT8_Augment_CivilianEmblem2,9,5.11
TFT8_Augment_ChoGathMR,7,5.14
TFT7_Augment_Bloodlust1,18,5.17
TFT7_Augment_ClutteredMind,29,5.17
TFT6_Augment_CyberneticShell2,11,5.18
TFT8_Augment_AegisEmblem2,5,5.2
TFT6_Augment_CyberneticImplants1,14,5.21
TFT6_Augment_CelestialBlessing2,51,5.22
TFT8_Augment_DeadeyeEmblem,13,5.23
TFT6_Augment_TargetDummies,24,5.25
TFT8_Augment_SupersTrait2,4,5.25
TFT8_Augment_RammusArmor,12,5.25
TFT6_Augment_CyberneticImplants2,11,5.27
TFT8_Augment_SylasSupport,22,5.27
TFT6_Augment_TomeOfTraits1,25,5.28
TFT8_Augment_PoppySupport,31,5.29
TFT8_Augment_MascotEmblem,10,5.3
TFT8_Augment_HackerEmblem2,16,5.31
TFT8_Augment_AegisEmblem,22,5.32
TFT8_Augment_KaisaStarCrossed,6,5.33
TFT6_Augment_CyberneticShell1,12,5.33
TFT8_Augment_StarGuardianEmblem2,3,5.33
TFT6_Augment_Traitless1,8,5.38
TFT6_Augment_BinaryAirdrop,10,5.4
TFT7_Augment_FirstAidKit2,5,5.4
TFT8_Augment_DefenderTrait,12,5.42
TFT6_Augment_ForceOfNature,33,5.42
TFT6_Augment_FirstAidKit,12,5.42
TFT8_Augment_SupersTrait,7,5.43
TFT8_Augment_GangplankCarry,7,5.43
TFT8_Augment_PoppyCarry,16,5.44
TFT8_Augment_DravenSupport,25,5.44
TFT8_Augment_ADMINEmblem2,11,5.45
TFT6_Augment_BandOfThieves2,25,5.48
TFT8_Augment_ADMINEmblem,10,5.5
TFT8_Augment_AnnieCarry,28,5.5
TFT8_Augment_GangplankSupport,41,5.51
TFT8_Augment_ReconTrait,9,5.56
TFT8_Augment_SivirCarry,22,5.59
TFT8_Augment_FioraCarry,3,5.67
TFT8_Augment_UndergroundTheTrait2,12,5.67
TFT6_Augment_ItemGrabBag2,25,5.68
TFT8_Augment_GenAETrait,10,5.7
TFT8_Augment_MalphiteSupport,31,5.74
TFT8_Augment_MalphiteCarry,4,5.75
TFT8_Augment_LeBlancSupport,8,5.75
TFT7_Augment_TomeOfTraits2,15,5.8
TFT6_Augment_CyberneticUplink3,6,5.83
TFT8_Augment_JinxCarry,1,6.0
TFT8_Augment_HeartEmblem,17,6.0
TFT8_Augment_DravenCarry,16,6.06
TFT7_Augment_AxiomArc2,14,6.14
TFT8_Augment_AnimaSquadTrait,7,6.14
TFT8_Augment_MascotTrait,13,6.15
TFT8_Augment_SennaSupport,4,6.25
TFT8_Augment_VelkozSupport,6,7.0
TFT8_Augment_KaisaCarry,3,7.33
TFT6_Augment_FuturePeepers2,2,8.0
TFT6_Augment_CyberneticShell3,1,8.0
TFT8_Augment_AceEmblem,1,8.0
