placement,group,comp,grp_count,grp_placement,mode
6,-1,"Ekko, Janna, Sejuani, Syndra, Velkoz, Vi, Zac, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Chogath, Fiddlesticks, Leblanc, LeeSin, Malphite, Rammus, Velkoz, Zac",,,"Alistar, Annie, Camille"
3,-1,"Ekko, Ezreal, Kaisa, LeeSin, Riven, Sejuani, Sona, Taliyah, Vayne, Vi",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Jax, Leona, Samira, Sejuani, Senna, Sett",,,"Alistar, Annie, Camille"
6,-1,"Annie, Leblanc, Sona, Soraka, Urgot, Yuumi, Zoe",,,"Alistar, Annie, Camille"
6,-1,"MissFortune, Nunu, Riven, Sejuani, Vayne",,,"Alistar, Annie, Camille"
3,-1,"Ekko, Leblanc, Leona, Sejuani, Sona, Soraka, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Aphelios, Camille, Janna, Nunu, Sivir, Velkoz, Viego",,,"Alistar, Annie, Camille"
6,-1,"Leblanc, LeeSin, Leona, Riven, Sejuani, Soraka, Vi",,,"Alistar, Annie, Camille"
6,-1,"AurelionSol, Ekko, Fiddlesticks, Jax, Leona, Riven, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Fiddlesticks, Nunu, Sejuani, Senna, Sivir, Vi, Zac",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Leblanc, Sejuani, Soraka, Syndra, Yasuo, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Fiora, LeeSin, Leona, Nunu, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, AurelionSol, Fiddlesticks, Leona, Mordekaiser, Riven",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Ekko, Leona, MissFortune, Mordekaiser, Samira, Urgot",,,"Alistar, Annie, Camille"
3,-1,"Draven, Ekko, Ezreal, Kaisa, Rell, Riven, Sett",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Kaisa, MissFortune, Nilah, Riven, Vayne, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Janna, Leblanc, Nunu, Soraka, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Janna, Leblanc, Mordekaiser, Soraka, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Fiddlesticks, Fiora, Janna, Leblanc, Mordekaiser, Sejuani, Urgot, Viego, Zed",,,"Alistar, Annie, Camille"
6,-1,"AurelionSol, BelVeth, Sejuani, Zac",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Aphelios, Ekko, Leona, Nunu, Sett, Sivir",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Fiora, Leblanc, Sejuani, Vayne, Vi, Zac, Zed",,,"Alistar, Annie, Camille"
6,-1,"BelVeth, Jax, LeeSin, Riven, Sejuani, Sett, Soraka",,,"Alistar, Annie, Camille"
6,-1,"Ezreal, Kaisa, Mordekaiser, Sejuani, Vayne, Yasuo, Zac",,,"Alistar, Annie, Camille"
6,-1,"Chogath, Leblanc, Rammus, Sejuani, Velkoz, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Draven, Ekko, Leona, Riven, Sejuani, Velkoz, Vi",,,"Alistar, Annie, Camille"
6,-1,"Janna, Jax, LeeSin, Sejuani, Soraka, Urgot, Vi, Zac",,,"Alistar, Annie, Camille"
3,-1,"Janna, Jax, Leona, Sejuani, Sett, Urgot, Vi",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Janna, Jax, LeeSin, Riven, Sejuani, Sett, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Ekko, LeeSin, Vi, Yuumi, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Janna, Jax, Leona, Sett, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Jinx, Riven, Sejuani, Taliyah, Vayne",,,"Alistar, Annie, Camille"
3,-1,"BelVeth, Draven, Jax, Leona, Sejuani, Sett, Velkoz",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Janna, Leona, Nunu, Senna, Sivir",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Aphelios, AurelionSol, Chogath, Ekko, Rammus, Samira",,,"Alistar, Annie, Camille"
3,-1,"Annie, Fiddlesticks, Janna, Leblanc, LeeSin, Syndra, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Camille, Leblanc, Mordekaiser, Sejuani, Zac, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Fiddlesticks, Janna, MissFortune, Mordekaiser, Nunu, Samira, Sona, Syndra, Urgot",,,"Alistar, Annie, Camille"
6,-1,"Alistar, AurelionSol, Rammus, Samira, Sejuani, Senna, Vi",,,"Alistar, Annie, Camille"
3,-1,"AurelionSol, BelVeth, Fiddlesticks, Janna, Nunu, Urgot, Velkoz, Zac",,,"Alistar, Annie, Camille"
3,-1,"Janna, Jax, LeeSin, Leona, MissFortune, Syndra, Urgot, Zac",,,"Alistar, Annie, Camille"
3,-1,"Jinx, LeeSin, Malphite, Riven, Vayne",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Leona, MissFortune, Riven, Sejuani, Urgot, Yasuo, Zac",,,"Alistar, Annie, Camille"
3,-1,"Annie, Ekko, Leblanc, Nunu, Soraka, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"AurelionSol, Leblanc, Riven, Sejuani, Vi",,,"Alistar, Annie, Camille"
3,-1,"Chogath, Rammus, Samira, Sivir, Urgot, Velkoz, Zac",,,"Alistar, Annie, Camille"
3,-1,"BelVeth, Chogath, Ekko, Leona, Rammus, Sejuani, Velkoz, Vi",,,"Alistar, Annie, Camille"
6,-1,"Aphelios, Fiddlesticks, Janna, Jax, Leona, Samira, Sett, Urgot, Vi",,,"Alistar, Annie, Camille"
6,-1,"Draven, Ekko, Jax, LeeSin, Riven, Soraka, Vi",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Leona, Mordekaiser, Nunu, Riven, Samira, Senna, Urgot, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Chogath, Kaisa, Rammus, Riven, Sett, Vayne",,,"Alistar, Annie, Camille"
3,-1,"AurelionSol, Nunu, Rammus, Syndra, Urgot, Velkoz, Yuumi, Zac",,,"Alistar, Annie, Camille"
6,-1,"AurelionSol, Jax, Sejuani, Sett, Syndra, Velkoz",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, MissFortune, Mordekaiser, Samira, Sejuani, Sivir, Urgot, Vi",,,"Alistar, Annie, Camille"
6,-1,"Jax, Samira, Sejuani, Senna, Urgot, Yasuo, Zed",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Kaisa, Nilah, Rell, Riven, Syndra, Taliyah",,,"Alistar, Annie, Camille"
6,-1,"BelVeth, Draven, Ekko, Jax, Leona, Rell, Riven, Sett",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Annie, Jax, Riven, Sejuani, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, BelVeth, Ekko, Fiora, Janna, Sejuani, Vi, Viego",,,"Alistar, Annie, Camille"
3,-1,"Ekko, Leona, Mordekaiser, Nilah, Sejuani, Vayne, Vi, Yasuo, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Fiddlesticks, Nunu, Taliyah, Urgot, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Draven, Jax, Nunu, Rammus, Riven, Sejuani, Sett",,,"Alistar, Annie, Camille"
3,-1,"Janna, Jax, Leblanc, Riven, Sejuani, Soraka, Urgot, Vi, Zed",,,"Alistar, Annie, Camille"
6,-1,"Annie, AurelionSol, Fiddlesticks, Janna, Mordekaiser, Nunu, Syndra, Urgot",,,"Alistar, Annie, Camille"
3,-1,"Ekko, Ezreal, Fiddlesticks, Janna, Leblanc, MissFortune, Sejuani, Vi",,,"Alistar, Annie, Camille"
6,-1,"Chogath, Ekko, Leblanc, Rammus, Sejuani, Velkoz, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Leblanc, Mordekaiser, Sejuani, Senna, Soraka, Yasuo, Zed",,,"Alistar, Annie, Camille"
3,-1,"Fiddlesticks, Jax, Leblanc, MissFortune, Sejuani, Soraka, Vi",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Fiddlesticks, LeeSin, Leona, Riven, Sejuani, Soraka, Vi",,,"Alistar, Annie, Camille"
6,-1,"Annie, LeeSin, Malphite, Yuumi, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Ekko, Jax, Leblanc, Leona, MissFortune, Sejuani, Sett, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Draven, Fiddlesticks, LeeSin, MissFortune, Mordekaiser, Samira, Sejuani, Vi",,,"Alistar, Annie, Camille"
6,-1,"Aphelios, Ekko, Fiddlesticks, Fiora, Mordekaiser, Sivir, Zac, Zed",,,"Alistar, Annie, Camille"
6,-1,"Alistar, AurelionSol, Ekko, Fiddlesticks, Leblanc, Leona, Nunu, Syndra",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Leblanc, Leona, Velkoz, Vi, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Alistar, AurelionSol, Ekko, Janna, Samira, Sejuani, Urgot, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Fiora, Janna, Nunu, Viego, Yasuo",,,"Alistar, Annie, Camille"
3,-1,"Ekko, Leblanc, Sejuani, Soraka, Yuumi, Zac, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Jinx, MissFortune, Rammus, Riven, Vayne, Vi, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Jinx, Malphite, MissFortune, Riven, Yuumi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Camille, Ekko, Janna, Leblanc, Viego, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Jax, Leblanc, Sett, Sona, Soraka",,,"Alistar, Annie, Camille"
3,-1,"BelVeth, Fiddlesticks, Jax, Leona, MissFortune, Riven, Sejuani, Vi",,,"Alistar, Annie, Camille"
3,-1,"Ekko, Janna, Jinx, MissFortune, Nunu, Riven",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Ekko, Janna, Leona, Sona, Taliyah, Yuumi",,,"Alistar, Annie, Camille"
3,-1,"Ekko, Mordekaiser, Samira, Sejuani, Soraka, Viego, Zac",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Aphelios, Fiddlesticks, Leona, Mordekaiser, Nunu, Sivir, Syndra, Viego",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Samira, Sejuani, Senna, Sivir, Vi, Zed",,,"Alistar, Annie, Camille"
3,-1,"AurelionSol, BelVeth, Fiora, Janna, Leona, Rammus, Urgot, Zac",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Ekko, Mordekaiser, Nunu, Sona, Syndra, Urgot, Zac",,,"Alistar, Annie, Camille"
6,-1,"Annie, Ekko, Jinx, Leblanc, Nunu, Soraka, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, AurelionSol, Fiddlesticks, Janna, Leblanc, Nunu, Zac",,,"Alistar, Annie, Camille"
3,-1,"AurelionSol, Chogath, Ekko, Fiddlesticks, Rammus, Urgot, Velkoz",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Camille, Ekko, Leblanc, Leona, Soraka, Syndra, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Ekko, Leona, Sona, Soraka, Velkoz, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Leona, Mordekaiser, Sejuani, Senna, Vi, Yasuo, Zed",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Aphelios, Malphite, Nunu, Urgot, Yuumi",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Annie, Fiora, Jax, Nunu, Sejuani, Vi, Viego",,,"Alistar, Annie, Camille"
3,-1,"Aphelios, Draven, Leona, MissFortune, Mordekaiser, Samira, Sett",,,"Alistar, Annie, Camille"
3,-1,"Camille, Ekko, Leblanc, Sejuani, Sona, Syndra, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Jax, MissFortune, Riven, Sejuani, Vi",,,"Alistar, Annie, Camille"
6,-1,"AurelionSol, Ekko, Fiora, Sejuani, Vayne, Zac, Zed",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Aphelios, LeeSin, Nunu, Riven, Samira, Sejuani, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Jinx, Riven, Sejuani, Vayne, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Aphelios, Ekko, Fiddlesticks, Leona, Sett, Syndra",,,"Alistar, Annie, Camille"
6,-1,"Draven, MissFortune, Mordekaiser, Nilah, Samira, Sett, Zac",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Ekko, Leblanc, Nunu, Sona, Taliyah, Yuumi",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Annie, Aphelios, Fiora, Leblanc, Leona, Urgot, Viego, Zed",,,"Alistar, Annie, Camille"
6,-1,"Fiddlesticks, Kaisa, Nilah, Rell, Sona, Syndra, Taliyah, Zac",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Draven, Ekko, Jax, LeeSin, Sejuani, Sett, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Draven, Ekko, Jax, Nunu, Sejuani, Zac",,,"Alistar, Annie, Camille"
6,-1,"Aphelios, Janna, Jax, Leona, Riven, Sejuani, Urgot, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, AurelionSol, Ekko, Leona, Riven, Sett, Vi",,,"Alistar, Annie, Camille"
3,-1,"Chogath, Ekko, Leona, Sejuani, Senna, Sivir, Vi, Zac",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Leblanc, Leona, Nunu, Sejuani, Sona, Soraka, Vi",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Aphelios, Draven, Ekko, Janna, MissFortune, Mordekaiser, Samira, Sona",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Malphite, Samira, Senna, Sivir, Urgot",,,"Alistar, Annie, Camille"
6,-1,"Aphelios, Samira, Sejuani, Senna, Sivir, Yasuo",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Ekko, Leona, Nunu, Urgot, Viego, Zac",,,"Alistar, Annie, Camille"
6,-1,"Chogath, Ekko, Leona, MissFortune, Riven, Vayne, Zed, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Ekko, Fiddlesticks, Jax, Leona, Sett, Vi, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Aphelios, Camille, Sivir, Vi, Viego",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Nunu, Riven, Sejuani, Syndra, Yuumi",,,"Alistar, Annie, Camille"
6,-1,"BelVeth, Janna, Leblanc, MissFortune, Sejuani, Soraka, Vi, Zed",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Annie, Ekko, Janna, Soraka, Taliyah, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Aphelios, AurelionSol, Ekko, Fiddlesticks, MissFortune, Viego, Zac",,,"Alistar, Annie, Camille"
3,-1,"AurelionSol, MissFortune, Riven, Sejuani, Vayne",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Janna, Leona, Sona, Taliyah, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Fiddlesticks, Janna, Leona, Samira, Sett, Sivir",,,"Alistar, Annie, Camille"
3,-1,"Aphelios, Fiddlesticks, Jax, Mordekaiser, Nunu, Sejuani, Syndra, Urgot",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Annie, Ekko, Janna, Leona, Taliyah, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Aphelios, Fiddlesticks, Leona, Mordekaiser, Nunu, Sejuani, Senna, Urgot, Vi",,,"Alistar, Annie, Camille"
6,-1,"Draven, Jax, Leblanc, LeeSin, Sejuani, Vi",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Ekko, MissFortune, Riven, Vayne, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Fiddlesticks, Jax, Jinx, MissFortune, Nunu, Riven, Sejuani",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Ekko, Leblanc, Rammus, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Fiddlesticks, Jax, Leona, Sejuani, Sett, Syndra, Vi",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Fiddlesticks, Janna, Leona, Mordekaiser, Nunu, Sejuani, Urgot",,,"Alistar, Annie, Camille"
6,-1,"Chogath, Ezreal, Nilah, Rammus, Sona, Vayne, Velkoz",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Leblanc, Nilah, Sejuani, Senna, Vayne, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Chogath, Jinx, MissFortune, Riven, Sejuani, Sivir, Vayne",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Aphelios, Camille, Fiora, Nunu, Sivir, Viego",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Camille, Ekko, Samira, Vi, Viego",,,"Alistar, Annie, Camille"
6,-1,"Janna, Jax, LeeSin, Riven, Sejuani, Zed, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Aphelios, AurelionSol, Fiddlesticks, Rammus, Samira, Urgot, Velkoz, Zac",,,"Alistar, Annie, Camille"
6,-1,"Draven, Janna, Jax, Leona, Sejuani, Sett, Zac",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Fiddlesticks, Leona, Mordekaiser, Rell, Urgot, Vi",,,"Alistar, Annie, Camille"
6,-1,"Ezreal, Fiddlesticks, Jax, Samira, Sejuani, Sivir, Syndra, Zac",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Annie, Ekko, Leblanc, Sona, Taliyah, Urgot, Zoe",,,"Alistar, Annie, Camille"
3,-1,"AurelionSol, Janna, Leblanc, Samira, Sejuani, Vi, Zed",,,"Alistar, Annie, Camille"
6,-1,"AurelionSol, Leona, MissFortune, Mordekaiser, Samira, Sejuani, Sivir, Zac",,,"Alistar, Annie, Camille"
3,-1,"Jax, LeeSin, Leona, Sejuani, Vi, Yuumi",,,"Alistar, Annie, Camille"
6,-1,"Jax, LeeSin, Leona, Riven, Sejuani, Sett, Sona, Soraka",,,"Alistar, Annie, Camille"
3,-1,"Annie, Janna, Leblanc, Nunu, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Aphelios, Draven, MissFortune, Mordekaiser, Samira, Sejuani, Urgot, Zac",,,"Alistar, Annie, Camille"
3,-1,"Camille, Fiddlesticks, Leblanc, Sejuani, Soraka",,,"Alistar, Annie, Camille"
3,-1,"Annie, Ekko, Leblanc, Nunu, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Leblanc, Leona, Sona, Yuumi, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Annie, Ekko, Leblanc, Mordekaiser, Nunu, Soraka, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Draven, Fiddlesticks, Janna, Jax, LeeSin, Nunu, Riven, Sejuani",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Ekko, Mordekaiser, Nunu, Sona, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Sona, Soraka, Yuumi, Zac, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Jax, Leona, Sett, Viego",,,"Alistar, Annie, Camille"
3,-1,"Jax, Leblanc, LeeSin, Riven, Sejuani, Vi, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Fiora, Nilah, Syndra, Vayne, Yasuo, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Annie, AurelionSol, Janna, Nunu, Riven, Samira, Sejuani, Sivir",,,"Alistar, Annie, Camille"
6,-1,"Alistar, AurelionSol, Ekko, Sejuani, Sona, Soraka, Zac",,,"Alistar, Annie, Camille"
3,-1,"Annie, Ekko, Janna, Leblanc, Leona, Sona, Soraka, Syndra",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Aphelios, Ekko, Fiddlesticks, Samira, Urgot, Vi, Viego, Zac",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Ekko, Jax, Leona, Sett, Vayne, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Camille, Ekko, Janna, MissFortune, Samira, Sejuani, Viego",,,"Alistar, Annie, Camille"
6,-1,"Alistar, AurelionSol, Draven, Ekko, Jinx, MissFortune, Mordekaiser, Samira",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Ekko, Jax, Jinx, Nunu, Urgot, Vi, Zed, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Jax, Leona, Sejuani, Syndra, Vayne, Vi",,,"Alistar, Annie, Camille"
6,-1,"Jax, Riven, Sett, Sona, Soraka, Syndra",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Annie, Ekko, Janna, Leblanc, Leona, Mordekaiser, Soraka, Syndra",,,"Alistar, Annie, Camille"
3,-1,"Mordekaiser, Riven, Sejuani, Senna, Yasuo, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Fiddlesticks, Leblanc, Leona, Vi, Yasuo, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Aphelios, Fiora, Leona, Mordekaiser, Viego, Yasuo, Zed",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Leblanc, Leona, Samira, Vi, Zed",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Fiddlesticks, Leblanc, Nunu, Sona, Soraka, Taliyah",,,"Alistar, Annie, Camille"
3,-1,"Draven, Leona, MissFortune, Mordekaiser, Riven, Samira, Sett, Vayne",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Annie, Ekko, Kaisa, Nunu, Syndra, Taliyah, Yuumi",,,"Alistar, Annie, Camille"
6,-1,"Annie, Ekko, Leblanc, Sona, Soraka, Zac, Zoe",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Ekko, Leona, MissFortune, Nunu, Riven, Urgot, Vayne, Vi",,,"Alistar, Annie, Camille"
6,-1,"AurelionSol, Sejuani, Urgot, Vi, Yasuo, Zac, Zed, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Alistar, AurelionSol, Chogath, Ekko, Jinx, Sejuani, Urgot, Velkoz, Vi, Zac",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Annie, Ekko, Leblanc, Leona, Sona, Zoe",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Ekko, Jinx, Leona, MissFortune, Nunu, Vi, Zac",,,"Alistar, Annie, Camille"
6,-1,"Ekko, Rammus, Samira, Sejuani, Sivir, Sona, Urgot, Velkoz, Zac",,,"Alistar, Annie, Camille"
6,-1,"Fiddlesticks, Mordekaiser, Sejuani, Senna, Syndra, Yasuo, Zed",,,"Alistar, Annie, Camille"
6,-1,"Alistar, Annie, Ekko, Leblanc, Leona, Sona, Soraka, Taliyah",,,"Alistar, Annie, Camille"
3,-1,"Alistar, Aphelios, AurelionSol, Chogath, Ekko, Rammus, Senna, Velkoz, Zac",,,"Alistar, Annie, Camille"
3,-1,"Ekko, Leblanc, Mordekaiser, Soraka, Syndra, Urgot, Zac",,,"Alistar, Annie, Camille"
6,-1,"LeeSin, Riven, Sejuani, Soraka, Vi, Zed",,,"Alistar, Annie, Camille"
3,-1,"LeeSin, Malphite, Mordekaiser, Senna, Sivir, Yuumi",,,"Alistar, Annie, Camille"
3,-1,"Ekko, Leblanc, Mordekaiser, Nilah, Sejuani, Yasuo, Zed, Zoe",,,"Alistar, Annie, Camille"
