augment2_grp,Value_Count,average_placement
TFT6_Augment_FuturePeepers2,5,4.2
TFT8_Augment_JaxASCarry,72,4.21
TFT8_Augment_RenegadeTrait,14,4.21
TFT6_Augment_CyberneticShell1,18,4.22
TFT8_Augment_ViegoCarry,45,4.22
TFT8_Augment_DuelistEmblem,53,4.23
TFT8_Augment_TaliyahCarry,34,4.24
TFT8_Augment_ChoGathMR,17,4.24
TFT8_Augment_BrawlerTrait,59,4.24
TFT6_Augment_TheGoldenEgg,28,4.25
TFT8_Augment_SyndraCarry,4,4.25
TFT8_Augment_DeadeyeTrait,11,4.27
TFT8_Augment_InterPolarisTrait,15,4.27
TFT6_Augment_Recombobulator,17,4.29
TFT6_Augment_CelestialBlessing2,128,4.29
TFT6_Augment_JeweledLotus,138,4.3
TFT8_Augment_VayneSupport,53,4.3
TFT8_Augment_PranksterEmblem,26,4.31
TFT8_Augment_UrgotSupport,9,4.33
TFT6_Augment_CyberneticImplants1,12,4.33
TFT8_Augment_ZedSupport,197,4.35
TFT8_Augment_CivilianEmblem2,8,4.38
TFT8_Augment_ZoeSupport,74,4.38
TFT8_Augment_SonaSupport,21,4.38
TFT8_Augment_TaliyahSupport,62,4.39
TFT8_Augment_LeBlancSupport,42,4.4
TFT8_Augment_ZedCarry,67,4.42
TFT8_Augment_LeonaCarry,16,4.44
TFT6_Augment_FirstAidKit,34,4.47
TFT6_Augment_Diversify3,17,4.47
TFT8_Augment_AnimaSquadEmblem,17,4.47
TFT6_Augment_Diversify2,89,4.49
TFT6_Augment_CyberneticUplink2,35,4.49
TFT7_Augment_PandorasBench,39,4.49
TFT6_Augment_MeleeStarBlade2,39,4.49
TFT6_Augment_CyberneticShell3,6,4.5
TFT6_Augment_SalvageBin,44,4.5
TFT8_Augment_NilahReflection,10,4.5
TFT6_Augment_VerdantVeil,32,4.53
TFT8_Augment_EkkoSupport,107,4.53
TFT8_Augment_SamiraSupport,41,4.54
TFT7_Augment_UrfsGrabBag2,53,4.55
TFT8_Augment_SamiraCarry,32,4.56
TFT8_Augment_ChannelerEmblem,34,4.56
TFT8_Augment_KaisaStarCrossed,14,4.57
TFT6_Augment_ComponentGrabBag,227,4.57
TFT6_Augment_PortableForge,163,4.57
TFT8_Augment_NilahSupport,26,4.58
TFT6_Augment_MakeshiftArmor2,64,4.58
TFT6_Augment_ThrillOfTheHunt1,73,4.58
TFT8_Augment_HackerEmblem,33,4.58
TFT6_Augment_MeleeStarBlade1,29,4.59
TFT8_Augment_NunuSupport,22,4.59
TFT8_Augment_AnimaSquadEmblem2,5,4.6
TFT6_Augment_Ascension,120,4.62
TFT6_Augment_HighEndShopping,55,4.62
TFT8_Augment_HackerTrait,30,4.63
TFT8_Augment_AlistarBeefUp,36,4.64
TFT8_Augment_SejuaniCarry,85,4.64
TFT6_Augment_SecondWind1,94,4.64
TFT6_Augment_MaxLevel10,34,4.65
TFT8_Augment_ChannelerTrait,20,4.65
TFT6_Augment_ItemGrabBag1,71,4.66
TFT8_Augment_DefenderEmblem2,3,4.67
TFT8_Augment_MordekaiserSupport,25,4.68
TFT6_Augment_CyberneticUplink1,25,4.68
TFT6_Augment_CelestialBlessing1,104,4.69
TFT6_Augment_SunfireBoard,78,4.69
TFT6_Augment_GrandGambler,43,4.7
TFT8_Augment_RenegadeEmblem,33,4.7
TFT8_Augment_GenAETrait,10,4.7
TFT8_Augment_HeartEmblem,17,4.71
TFT8_Augment_SejuaniSupport,226,4.72
TFT8_Augment_MissFortuneCarry,18,4.72
TFT8_Augment_ExoPrimeEmblem,15,4.73
TFT7_Augment_ThinkFast,38,4.74
TFT8_Augment_FiddlesticksCarry,4,4.75
TFT8_Augment_InterPolarisEmblem,17,4.76
TFT6_Augment_ThrillOfTheHunt2,104,4.76
TFT8_Augment_DeadeyeEmblem,18,4.78
TFT6_Augment_PandorasItems,38,4.79
TFT6_Augment_Distancing,19,4.79
TFT8_Augment_RammusArmor,15,4.8
TFT8_Augment_BelVethCarry,16,4.81
TFT8_Augment_AurelionSolImpact,21,4.81
TFT8_Augment_RivenSupport,69,4.83
TFT8_Augment_NunuCarry,21,4.86
TFT8_Augment_HeartEmblem2,7,4.86
TFT8_Augment_SorakaSupport,89,4.87
TFT8_Augment_AurelionSolCarry,9,4.89
TFT6_Augment_WindfallPlusPlus,40,4.9
TFT8_Augment_SettCarry,10,4.9
TFT8_Augment_HackerEmblem2,11,4.91
TFT8_Augment_JannaSupport,13,4.92
TFT8_Augment_MascotEmblem,15,4.93
TFT8_Augment_RenegadeEmblem2,17,4.94
TFT8_Augment_CivilianEmblem,16,4.94
TFT8_Augment_SettSupport,22,4.95
TFT8_Augment_MissFortuneSupport,23,5.0
TFT8_Augment_ZacSupersize,16,5.0
TFT8_Augment_VelkozSupport,8,5.0
TFT6_Augment_ForceOfNature,58,5.0
TFT6_Augment_TargetDummies,64,5.0
TFT8_Augment_SennaASCarry,5,5.0
TFT8_Augment_GenAETrait2,4,5.0
TFT8_Augment_DuelistTrait,23,5.0
TFT7_Augment_AxiomArc2,59,5.03
TFT8_Augment_DuelistEmblem2,16,5.06
TFT7_Augment_FirstAidKit2,47,5.06
TFT6_Augment_TomeOfTraits1,95,5.07
TFT6_Augment_ItemGrabBag2,47,5.09
TFT7_Augment_LuckyGloves,24,5.12
TFT8_Augment_EkkoCarry,31,5.16
TFT6_Augment_CyberneticImplants2,29,5.17
TFT8_Augment_UrgotCarry,5,5.2
TFT8_Augment_ReconTrait,5,5.2
TFT6_Augment_FuturePeepers,19,5.21
TFT6_Augment_BinaryAirdrop,23,5.22
TFT8_Augment_LeBlancGlitch,18,5.22
TFT6_Augment_MeleeStarBlade3,11,5.27
TFT8_Augment_AlistarAoEPulverizer,70,5.31
TFT8_Augment_ADMINEmblem,18,5.33
TFT8_Augment_MordekaiserCarry,3,5.33
TFT8_Augment_FiddlesticksSupport,10,5.4
TFT8_Augment_ZacSupport,7,5.43
TFT8_Augment_ADMINTrait,15,5.47
TFT6_Augment_Featherweights1,2,5.5
TFT8_Augment_ReconEmblem2,2,5.5
TFT8_Augment_KaisaCarry,6,5.5
TFT6_Augment_CyberneticUplink3,11,5.55
TFT6_Augment_BandOfThieves2,31,5.58
TFT8_Augment_AnimaSquadTrait,6,5.67
TFT8_Augment_ApheliosCarry,6,5.67
TFT8_Augment_ReconEmblem,6,5.83
TFT8_Augment_InterPolarisEmblem2,3,6.0
TFT8_Augment_VelkozFrostburn,2,6.0
TFT8_Augment_SupersTrait,11,6.0
TFT8_Augment_StarGuardianTrait,8,6.0
TFT6_Augment_TriForce1,2,6.0
TFT8_Augment_AceEmblem,1,6.0
TFT8_Augment_UndergroundTheTrait2,1,6.0
TFT8_Augment_VayneCarry,10,6.1
TFT8_Augment_AceEmblem2,5,6.2
TFT8_Augment_ADMINEmblem2,6,6.5
TFT8_Augment_UndergroundTheTrait,1,7.0
None,53,7.43
