augment2_grp,Value_Count,average_placement
TFT6_Augment_MeleeStarBlade2,77,4.32
TFT8_Augment_DefenderEmblem,15,4.33
TFT8_Augment_ZedCarry,67,4.33
TFT8_Augment_DeadeyeEmblem,34,4.35
TFT6_Augment_CelestialBlessing1,137,4.36
TFT8_Augment_SupersTrait,14,4.36
TFT6_Augment_ThrillOfTheHunt1,186,4.38
TFT6_Augment_FuturePeepers2,8,4.38
TFT8_Augment_ApheliosSupport,68,4.38
TFT6_Augment_MeleeStarBlade3,31,4.39
TFT8_Augment_VayneSupport,136,4.39
TFT6_Augment_BandOfThieves2,51,4.39
TFT6_Augment_VerdantVeil,70,4.39
TFT8_Augment_OxForceEmblem2,18,4.39
TFT6_Augment_MeleeStarBlade1,40,4.4
TFT8_Augment_RivenReverberation,12,4.42
TFT8_Augment_OxForceTrait,37,4.43
TFT6_Augment_CyberneticUplink3,16,4.44
TFT6_Augment_Diversify2,78,4.45
TFT6_Augment_SecondWind2,237,4.45
TFT8_Augment_ChannelerTrait,37,4.46
TFT8_Augment_NilahSupport,74,4.47
TFT8_Augment_BrawlerTrait,70,4.47
TFT6_Augment_ThrillOfTheHunt2,305,4.47
TFT8_Augment_SorakaSupport,143,4.48
TFT6_Augment_SecondWind1,204,4.49
TFT8_Augment_SennaASCarry,20,4.5
TFT8_Augment_MascotEmblem,26,4.5
TFT7_Augment_CursedCrown,34,4.5
TFT6_Augment_MakeshiftArmor2,110,4.51
TFT8_Augment_SejuaniCarry,115,4.51
TFT7_Augment_ScopedWeapons1,115,4.51
TFT8_Augment_KaisaCarry,15,4.53
TFT8_Augment_AlistarBeefUp,73,4.53
TFT8_Augment_VelkozSupport,30,4.53
TFT8_Augment_BelVethCarry,56,4.54
TFT6_Augment_WindfallPlusPlus,91,4.54
TFT8_Augment_AceEmblem2,11,4.55
TFT6_Augment_ComponentGrabBag,338,4.56
TFT7_Augment_BandOfThieves1,140,4.56
TFT6_Augment_MaxLevel10,89,4.56
TFT8_Augment_AlistarAoEPulverizer,161,4.57
TFT6_Augment_PortableForge,307,4.57
TFT8_Augment_ZoeDoubleTrouble,65,4.58
TFT7_Augment_TomeOfTraits2,59,4.58
TFT6_Augment_CyberneticUplink2,74,4.58
TFT8_Augment_MascotTrait,22,4.59
TFT8_Augment_SennaSupport,110,4.61
TFT6_Augment_ItemGrabBag1,155,4.61
TFT8_Augment_NunuSupport,41,4.61
TFT7_Augment_PandorasBench,75,4.61
TFT8_Augment_ZacSupport,31,4.61
TFT8_Augment_EkkoCarry,31,4.61
TFT6_Augment_MakeshiftArmor1,68,4.62
TFT6_Augment_CyberneticImplants1,39,4.62
TFT8_Augment_DuelistEmblem,76,4.63
TFT8_Augment_EkkoSupport,175,4.63
TFT6_Augment_CyberneticShell3,14,4.64
TFT8_Augment_ApheliosCarry,11,4.64
TFT6_Augment_SunfireBoard,158,4.64
TFT8_Augment_SejuaniSupport,284,4.65
TFT6_Augment_ForceOfNature,114,4.66
TFT8_Augment_FiddlesticksCarry,18,4.67
TFT8_Augment_ZoeSupport,123,4.67
TFT6_Augment_Distancing2,40,4.68
TFT6_Augment_WoodlandCharm,36,4.69
TFT8_Augment_HeartEmblem,40,4.7
TFT7_Augment_FirstAidKit2,60,4.7
TFT8_Augment_RammusCarry,20,4.7
TFT8_Augment_HackerTrait,31,4.71
TFT8_Augment_DefenderEmblem2,7,4.71
TFT8_Augment_SamiraCarry,78,4.72
TFT6_Augment_BinaryAirdrop,30,4.73
TFT8_Augment_LeonaCarry,34,4.74
TFT6_Augment_RadiantRelics,133,4.74
TFT6_Augment_GachaAddict,98,4.74
TFT8_Augment_GenAETrait,12,4.75
TFT6_Augment_Diversify3,28,4.75
TFT8_Augment_AnimaSquadEmblem,20,4.75
TFT8_Augment_LeBlancSupport,104,4.75
TFT8_Augment_TaliyahCarry,40,4.75
TFT6_Augment_FuturePeepers,36,4.75
TFT6_Augment_HighEndShopping,115,4.77
TFT6_Augment_SalvageBin,87,4.78
TFT8_Augment_JannaSupport,28,4.79
TFT8_Augment_ADMINEmblem,40,4.8
TFT7_Augment_UrfsGrabBag2,71,4.8
TFT6_Augment_CyberneticUplink1,38,4.82
TFT8_Augment_ExoPrimeEmblem,44,4.82
TFT8_Augment_MascotEmblem2,11,4.82
TFT8_Augment_CivilianEmblem2,12,4.83
TFT6_Augment_ItemGrabBag2,58,4.83
TFT8_Augment_HeartEmblem2,18,4.83
TFT6_Augment_PandorasItems,118,4.86
TFT8_Augment_MordekaiserSupport,36,4.86
TFT8_Augment_ZacSupersize,35,4.86
TFT8_Augment_ReconTrait,9,4.89
TFT8_Augment_UndergroundTheTrait,10,4.9
TFT8_Augment_MissFortuneCarry,30,4.9
TFT6_Augment_TomeOfTraits1,168,4.9
TFT8_Augment_FiddlesticksSupport,24,4.92
TFT8_Augment_ADMINTrait,24,4.96
TFT6_Augment_TargetDummies,89,4.98
TFT8_Augment_StarGuardianEmblem,31,5.0
TFT8_Augment_AurelionSolCarry,27,5.04
TFT8_Augment_SonaSupport,73,5.05
TFT8_Augment_LeBlancGlitch,45,5.07
TFT8_Augment_RivenSupport,85,5.09
TFT8_Augment_AnimaSquadTrait,15,5.13
TFT6_Augment_Recombobulator,65,5.14
TFT8_Augment_SorakaCarry,46,5.2
TFT8_Augment_KaisaStarCrossed,25,5.24
TFT8_Augment_SonaExile,16,5.25
TFT8_Augment_PranksterEmblem,27,5.3
TFT7_Augment_AxiomArc2,99,5.38
TFT8_Augment_ChoGathCarry,18,5.44
TFT8_Augment_MissFortuneSupport,64,5.44
TFT8_Augment_HeartTrait,22,5.45
TFT7_Augment_LuckyGloves,47,5.47
TFT8_Augment_SyndraCarry,12,5.5
TFT8_Augment_ReconEmblem,11,5.55
TFT8_Augment_SettCarry,20,5.6
TFT8_Augment_GenAETrait2,4,6.0
TFT8_Augment_ReconEmblem2,2,6.0
TFT8_Augment_VayneCarry,11,6.18
TFT8_Augment_NilahReflection,9,6.22
TFT8_Augment_JannaCarry,6,6.5
None,71,7.97
